pokedex_number,name,region,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
1,Bulbasaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20
2,Ivysaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20
3,Venusaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20
3,Mega Venusaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45,70,281,Medium Slow,2,Grass,Monster,87.5,20
4,Charmander,Kanto,1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20
5,Charmeleon,Kanto,1,Normal,Flame Pokémon,1,Fire,,1.1,19,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20
6,Charizard,Kanto,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,70,240,Medium Slow,2,Dragon,Monster,87.5,20
6,Mega Charizard X,Kanto,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20
6,Mega Charizard Y,Kanto,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20
7,Squirtle,Kanto,1,Normal,Tiny Turtle Pokémon,1,Water,,0.5,9,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20
8,Wartortle,Kanto,1,Normal,Turtle Pokémon,1,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,65,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20
9,Blastoise,Kanto,1,Normal,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,85,105,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20
9,Mega Blastoise,Kanto,1,Normal,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,135,115,78,45,70,284,Medium Slow,2,Monster,Water 1,87.5,20
10,Caterpie,Kanto,1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,20,20,45,255,70,39,Medium Fast,1,Bug,,50,15
11,Metapod,Kanto,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,25,25,30,120,70,72,Medium Fast,1,Bug,,50,15
12,Butterfree,Kanto,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,395,60,45,50,90,80,70,45,70,178,Medium Fast,1,Bug,,50,15
13,Weedle,Kanto,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,20,20,50,255,70,39,Medium Fast,1,Bug,,50,15
14,Kakuna,Kanto,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10,1,Shed Skin,,,205,45,25,50,25,25,35,120,70,72,Medium Fast,1,Bug,,50,15
15,Beedrill,Kanto,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1,29.5,2,Swarm,,Sniper,395,65,90,40,45,80,75,45,70,178,Medium Fast,1,Bug,,50,15
15,Mega Beedrill,Kanto,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,15,80,145,45,70,223,Medium Fast,1,Bug,,50,15
16,Pidgey,Kanto,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251,40,45,40,35,35,56,255,70,50,Medium Slow,1,Flying,,50,15
17,Pidgeotto,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,349,63,60,55,50,50,71,120,70,122,Medium Slow,1,Flying,,50,15
18,Pidgeot,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479,83,80,75,70,70,101,45,70,216,Medium Slow,1,Flying,,50,15
18,Mega Pidgeot,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,579,83,80,80,135,80,121,45,70,261,Medium Slow,1,Flying,,50,15
19,Rattata,Kanto,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15
19,Alolan Rattata,Kanto,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253,30,56,35,25,35,72,255,70,51,Medium Fast,1,Field,,50,15
20,Raticate,Kanto,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413,55,81,60,50,70,97,127,70,145,Medium Fast,1,Field,,50,15
20,Alolan Raticate,Kanto,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413,75,71,70,40,80,77,127,70,145,Medium Fast,1,Field,,50,15
21,Spearow,Kanto,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,262,40,60,30,31,31,70,255,70,52,Medium Fast,1,Flying,,50,15
22,Fearow,Kanto,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,442,65,90,65,61,61,100,90,70,155,Medium Fast,1,Flying,,50,15
23,Ekans,Kanto,1,Normal,Snake Pokémon,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,288,35,60,44,40,54,55,255,70,58,Medium Fast,2,Dragon,Field,50,20
24,Arbok,Kanto,1,Normal,Cobra Pokémon,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,448,60,95,69,65,79,80,90,70,157,Medium Fast,2,Dragon,Field,50,20
25,Pikachu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,2,Static,,Lightning Rod,320,35,55,40,50,50,90,190,70,112,Medium Fast,2,Fairy,Field,50,10
25,Partner Pikachu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,1,,,Lightning Rod,430,45,80,50,75,60,120,190,70,112,Medium Fast,0,,,50,10
26,Raichu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.8,30,2,Static,,Lightning Rod,485,60,90,55,90,80,110,75,70,218,Medium Fast,2,Fairy,Field,50,10
26,Alolan Raichu,Kanto,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,485,60,85,50,95,85,110,75,70,218,Medium Fast,2,Fairy,Field,50,10
27,Sandshrew,Kanto,1,Normal,Mouse Pokémon,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,300,50,75,85,20,30,40,255,70,60,Medium Fast,1,Field,,50,20
27,Alolan Sandshrew,Kanto,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,300,50,75,90,10,35,40,255,70,60,Medium Fast,1,Field,,50,20
28,Sandslash,Kanto,1,Normal,Mouse Pokémon,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,450,75,100,110,45,55,65,90,70,158,Medium Fast,1,Field,,50,20
28,Alolan Sandslash,Kanto,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,450,75,100,120,25,65,65,90,70,158,Medium Fast,1,Field,,50,20
29,Nidoranâ™€,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,275,55,47,52,40,40,41,235,70,55,Medium Slow,2,Field,Monster,0,20
30,Nidorina,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,365,70,62,67,55,55,56,120,70,128,Medium Slow,1,Undiscovered,,0,20
31,Nidoqueen,Kanto,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,505,90,92,87,75,85,76,45,70,227,Medium Slow,1,Undiscovered,,0,20
32,Nidoranâ™‚,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,273,46,57,40,40,40,50,235,70,55,Medium Slow,2,Field,Monster,100,20
33,Nidorino,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365,61,72,57,55,55,65,120,70,128,Medium Slow,2,Field,Monster,100,20
34,Nidoking,Kanto,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,505,81,102,77,85,75,85,45,70,227,Medium Slow,2,Field,Monster,100,20
35,Clefairy,Kanto,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323,70,45,48,60,65,35,150,140,113,Fast,1,Fairy,,25,10
36,Clefable,Kanto,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,483,95,70,73,95,90,60,25,140,217,Fast,1,Fairy,,25,10
37,Vulpix,Kanto,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20
37,Alolan Vulpix,Kanto,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299,38,41,40,50,65,65,190,70,60,Medium Fast,1,Field,,25,20
38,Ninetales,Kanto,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505,73,76,75,81,100,100,75,70,177,Medium Fast,1,Field,,25,20
38,Alolan Ninetales,Kanto,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505,73,67,75,81,100,109,75,70,177,Medium Fast,1,Field,,25,20
39,Jigglypuff,Kanto,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270,115,45,20,45,25,20,170,70,95,Fast,1,Fairy,,25,10
40,Wigglytuff,Kanto,1,Normal,Balloon Pokémon,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,435,140,70,45,85,50,45,50,70,196,Fast,1,Fairy,,25,10
41,Zubat,Kanto,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,245,40,45,35,30,40,55,255,70,49,Medium Fast,1,Flying,,50,15
42,Golbat,Kanto,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,455,75,80,70,65,75,90,90,70,159,Medium Fast,1,Flying,,50,15
43,Oddish,Kanto,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,320,45,50,55,75,65,30,255,70,64,Medium Slow,1,Grass,,50,20
44,Gloom,Kanto,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,395,60,65,70,85,75,40,120,70,138,Medium Slow,1,Grass,,50,20
45,Vileplume,Kanto,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,490,75,80,85,110,90,50,45,70,221,Medium Slow,1,Grass,,50,20
46,Paras,Kanto,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285,35,70,55,45,55,25,190,70,57,Medium Fast,2,Bug,Grass,50,20
47,Parasect,Kanto,1,Normal,Mushroom Pokémon,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,405,60,95,80,60,80,30,75,70,142,Medium Fast,2,Bug,Grass,50,20
48,Venonat,Kanto,1,Normal,Insect Pokémon,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,70,61,Medium Fast,1,Bug,,50,20
49,Venomoth,Kanto,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,70,158,Medium Fast,1,Bug,,50,20
