pokedex_entry,name,region,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed
1,Bulbasaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,45,49,49,65,65,45
2,Ivysaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,60,62,63,80,80,60
3,Venusaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,80,82,83,100,100,80
3,Mega Venusaur,Kanto,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,80,100,123,122,120,80
4,Charmander,Kanto,1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,39,52,43,60,50,65
5,Charmeleon,Kanto,1,Normal,Flame Pokémon,1,Fire,,1.1,19,2,Blaze,,Solar Power,58,64,58,80,65,80
6,Charizard,Kanto,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,78,84,78,109,85,100
6,Mega Charizard X,Kanto,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,78,130,111,130,85,100
6,Mega Charizard Y,Kanto,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,,,78,104,78,159,115,100
7,Squirtle,Kanto,1,Normal,Tiny Turtle Pokémon,1,Water,,0.5,9,2,Torrent,,Rain Dish,44,48,65,50,64,43
8,Wartortle,Kanto,1,Normal,Turtle Pokémon,1,Water,,1,22.5,2,Torrent,,Rain Dish,59,63,80,65,80,58
9,Blastoise,Kanto,1,Normal,Shellfish Pokémon,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,79,83,100,85,105,78
9,Mega Blastoise,Kanto,1,Normal,Shellfish Pokémon,1,Water,,1.6,101.1,1,Mega Launcher,,,79,103,120,135,115,78
10,Caterpie,Kanto,1,Normal,Worm Pokémon,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,45,30,35,20,20,45
11,Metapod,Kanto,1,Normal,Cocoon Pokémon,1,Bug,,0.7,9.9,1,Shed Skin,,,50,20,55,25,25,30
12,Butterfree,Kanto,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,60,45,50,90,80,70
13,Weedle,Kanto,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,40,35,30,20,20,50
14,Kakuna,Kanto,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10,1,Shed Skin,,,45,25,50,25,25,35
15,Beedrill,Kanto,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1,29.5,2,Swarm,,Sniper,65,90,40,45,80,75
15,Mega Beedrill,Kanto,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,,,65,150,40,15,80,145
16,Pidgey,Kanto,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56
17,Pidgeotto,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30,3,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71
18,Pidgeot,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101
18,Mega Pidgeot,Kanto,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,,,83,80,80,135,80,121
19,Rattata,Kanto,1,Normal,Mouse Pokémon,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,30,56,35,25,35,72
19,Alolan Rattata,Kanto,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,30,56,35,25,35,72
20,Raticate,Kanto,1,Normal,Mouse Pokémon,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,55,81,60,50,70,97
20,Alolan Raticate,Kanto,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,75,71,70,40,80,77
21,Spearow,Kanto,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2,2,Keen Eye,,Sniper,40,60,30,31,31,70
22,Fearow,Kanto,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38,2,Keen Eye,,Sniper,65,90,65,61,61,100
23,Ekans,Kanto,1,Normal,Snake Pokémon,1,Poison,,2,6.9,3,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55
24,Arbok,Kanto,1,Normal,Cobra Pokémon,1,Poison,,3.5,65,3,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80
25,Pikachu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,2,Static,,Lightning Rod,35,55,40,50,50,90
25,Partner Pikachu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.4,6,1,,,Lightning Rod,45,80,50,75,60,120
26,Raichu,Kanto,1,Normal,Mouse Pokémon,1,Electric,,0.8,30,2,Static,,Lightning Rod,60,90,55,90,80,110
26,Alolan Raichu,Kanto,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21,1,Surge Surfer,,,60,85,50,95,85,110
27,Sandshrew,Kanto,1,Normal,Mouse Pokémon,1,Ground,,0.6,12,2,Sand Veil,,Sand Rush,50,75,85,20,30,40
27,Alolan Sandshrew,Kanto,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40,2,Snow Cloak,,Slush Rush,50,75,90,10,35,40
28,Sandslash,Kanto,1,Normal,Mouse Pokémon,1,Ground,,1,29.5,2,Sand Veil,,Sand Rush,75,100,110,45,55,65
28,Alolan Sandslash,Kanto,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55,2,Snow Cloak,,Slush Rush,75,100,120,25,65,65
29,Nidoran (female),Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.4,7,3,Poison Point,Rivalry,Hustle,55,47,52,40,40,41
30,Nidorina,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.8,20,3,Poison Point,Rivalry,Hustle,70,62,67,55,55,56
31,Nidoqueen,Kanto,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60,3,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76
32,Nidoran (male),Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.5,9,3,Poison Point,Rivalry,Hustle,46,57,40,40,40,50
33,Nidorino,Kanto,1,Normal,Poison Pin Pokémon,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,61,72,57,55,55,65
34,Nidoking,Kanto,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62,3,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85
35,Clefairy,Kanto,1,Normal,Fairy Pokémon,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35
36,Clefable,Kanto,1,Normal,Fairy Pokémon,1,Fairy,,1.3,40,3,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60
37,Vulpix,Kanto,1,Normal,Fox Pokémon,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,38,41,40,50,65,65
37,Alolan Vulpix,Kanto,1,Normal,Fox Pokémon,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,38,41,40,50,65,65
38,Ninetales,Kanto,1,Normal,Fox Pokémon,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,73,76,75,81,100,100
38,Alolan Ninetales,Kanto,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,73,67,75,81,100,109
39,Jigglypuff,Kanto,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20
40,Wigglytuff,Kanto,1,Normal,Balloon Pokémon,2,Normal,Fairy,1,12,3,Cute Charm,Competitive,Frisk,140,70,45,85,50,45
41,Zubat,Kanto,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,,Infiltrator,40,45,35,30,40,55
42,Golbat,Kanto,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55,2,Inner Focus,,Infiltrator,75,80,70,65,75,90
43,Oddish,Kanto,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,,Run Away,45,50,55,75,65,30
44,Gloom,Kanto,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,,Stench,60,65,70,85,75,40
45,Vileplume,Kanto,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,,Effect Spore,75,80,85,110,90,50
46,Paras,Kanto,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25
47,Parasect,Kanto,1,Normal,Mushroom Pokémon,2,Bug,Grass,1,29.5,3,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30
48,Venonat,Kanto,1,Normal,Insect Pokémon,2,Bug,Poison,1,30,3,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45
49,Venomoth,Kanto,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90
50,Diglett,Kanto,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95
50,Alolan Diglett,Kanto,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,10,55,30,35,45,90
51,Dugtrio,Kanto,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120
51,Alolan Dugtrio,Kanto,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,35,100,60,50,70,110
52,Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,40,45,35,40,40,90
52,Alolan Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,40,35,35,50,40,90
52,Galarian Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,50,65,55,40,40,40
53,Persian,Kanto,1,Normal,Classy Cat Pokémon,1,Normal,,1,32,3,Limber,Technician,Unnerve,65,70,60,65,65,115
53,Alolan Persian,Kanto,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,65,60,60,75,65,115
54,Psyduck,Kanto,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55
55,Golduck,Kanto,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85
56,Mankey,Kanto,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28,3,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70
57,Primeape,Kanto,1,Normal,Pig Monkey Pokémon,1,Fighting,,1,32,3,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95
58,Growlithe,Kanto,1,Normal,Puppy Pokémon,1,Fire,,0.7,19,3,Intimidate,Flash Fire,Justified,55,70,45,70,50,60
59,Arcanine,Kanto,1,Normal,Legendary Pokémon,1,Fire,,1.9,155,3,Intimidate,Flash Fire,Justified,90,110,80,100,80,95
60,Poliwag,Kanto,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90
61,Poliwhirl,Kanto,1,Normal,Tadpole Pokémon,1,Water,,1,20,3,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90
62,Poliwrath,Kanto,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54,3,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70
63,Abra,Kanto,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90
64,Kadabra,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105
65,Alakazam,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.5,48,3,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120
65,Mega Alakazam,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.2,48,1,Trace,,,55,50,65,175,105,150
66,Machop,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,70,80,50,35,35,35
67,Machoke,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,80,100,70,50,60,45
68,Machamp,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130,3,Guts,No Guard,Steadfast,90,130,80,65,85,55
69,Bellsprout,Kanto,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4,2,Chlorophyll,,Gluttony,50,75,35,70,30,40
70,Weepinbell,Kanto,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1,6.4,2,Chlorophyll,,Gluttony,65,90,50,85,45,55
71,Victreebel,Kanto,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,80,105,65,100,70,70
72,Tentacool,Kanto,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70
73,Tentacruel,Kanto,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55,3,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100
74,Geodude,Kanto,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20,3,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20
74,Alolan Geodude,Kanto,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,40,80,100,30,30,20
75,Graveler,Kanto,1,Normal,Rock Pokémon,2,Rock,Ground,1,105,3,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35
75,Alolan Graveler,Kanto,1,Normal,Rock Pokémon,2,Rock,Electric,1,110,3,Magnet Pull,Sturdy,Galvanize,55,95,115,45,45,35
76,Golem,Kanto,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300,3,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45
76,Alolan Golem,Kanto,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316,3,Magnet Pull,Sturdy,Galvanize,80,120,130,55,65,45
77,Ponyta,Kanto,1,Normal,Fire Horse Pokémon,1,Fire,,1,30,3,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90
77,Galarian Ponyta,Kanto,1,Normal,Unique Horn Pokémon,1,Psychic,,0.8,24,3,Run Away,Pastel Veil,Anticipation,50,85,55,65,65,90
78,Rapidash,Kanto,1,Normal,Fire Horse Pokémon,1,Fire,,1.7,95,3,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105
78,Galarian Rapidash,Kanto,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80,3,Run Away,Pastel Veil,Anticipation,65,100,70,80,80,105
79,Slowpoke,Kanto,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36,3,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15
80,Slowbro,Kanto,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30
80,Mega Slowbro,Kanto,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2,120,1,Shell Armor,,,95,75,180,130,80,30
81,Magnemite,Kanto,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6,3,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45
82,Magneton,Kanto,1,Normal,Magnet Pokémon,2,Electric,Steel,1,60,3,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70
83,Farfetch'd,Kanto,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15,3,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60
83,Galarian Farfetch'd,Kanto,1,Normal,Wild Duck Pokémon,1,Fighting,,0.8,42,2,Steadfast,,Scrappy,52,95,55,58,62,55
84,Doduo,Kanto,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75
85,Dodrio,Kanto,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110
86,Seel,Kanto,1,Normal,Sea Lion Pokémon,1,Water,,1.1,90,3,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45
87,Dewgong,Kanto,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120,3,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70
88,Grimer,Kanto,1,Normal,Sludge Pokémon,1,Poison,,0.9,30,3,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25
88,Alolan Grimer,Kanto,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42,3,Poison Touch,Gluttony,Power of Alchemy,80,80,50,40,50,25
89,Muk,Kanto,1,Normal,Sludge Pokémon,1,Poison,,1.2,30,3,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50
89,Alolan Muk,Kanto,1,Normal,Sludge Pokémon,2,Poison,Dark,1,52,3,Poison Touch,Gluttony,Power of Alchemy,105,105,75,65,100,50
90,Shellder,Kanto,1,Normal,Bivalve Pokémon,1,Water,,0.3,4,3,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40
91,Cloyster,Kanto,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70
92,Gastly,Kanto,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,,,30,35,30,100,35,80
93,Haunter,Kanto,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,,,45,50,45,115,55,95
94,Gengar,Kanto,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,60,65,60,130,75,110
94,Mega Gengar,Kanto,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,60,65,80,170,95,130
95,Onix,Kanto,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210,3,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70
96,Drowzee,Kanto,1,Normal,Hypnosis Pokémon,1,Psychic,,1,32.4,3,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42
97,Hypno,Kanto,1,Normal,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67
98,Krabby,Kanto,1,Normal,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50
99,Kingler,Kanto,1,Normal,Pincer Pokémon,1,Water,,1.3,60,3,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75
100,Voltorb,Kanto,1,Normal,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,40,30,50,55,55,100
101,Electrode,Kanto,1,Normal,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,60,50,70,80,80,150
102,Exeggcute,Kanto,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,60,40,80,60,45,40
103,Exeggutor,Kanto,1,Normal,Coconut Pokémon,2,Grass,Psychic,2,120,2,Chlorophyll,,Harvest,95,95,85,125,75,55
103,Alolan Exeggutor,Kanto,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,95,105,85,125,75,45
104,Cubone,Kanto,1,Normal,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35
105,Marowak,Kanto,1,Normal,Bone Keeper Pokémon,1,Ground,,1,45,3,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45
105,Alolan Marowak,Kanto,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1,34,3,Cursed Body,Lightning Rod,Rock Head,60,80,110,50,80,45
106,Hitmonlee,Kanto,1,Normal,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,50,120,53,35,110,87
107,Hitmonchan,Kanto,1,Normal,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76
108,Lickitung,Kanto,1,Normal,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30
109,Koffing,Kanto,1,Normal,Poison Gas Pokémon,1,Poison,,0.6,1,3,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35
110,Weezing,Kanto,1,Normal,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60
110,Galarian Weezing,Kanto,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3,16,3,Levitate,Neutralizing Gas,Misty Surge,65,90,120,85,70,60
111,Rhyhorn,Kanto,1,Normal,Spikes Pokémon,2,Ground,Rock,1,115,3,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25
112,Rhydon,Kanto,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120,3,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40
113,Chansey,Kanto,1,Normal,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50
114,Tangela,Kanto,1,Normal,Vine Pokémon,1,Grass,,1,35,3,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60
115,Kangaskhan,Kanto,1,Normal,Parent Pokémon,1,Normal,,2.2,80,3,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90
115,Mega Kangaskhan,Kanto,1,Normal,Parent Pokémon,1,Normal,,2.2,100,1,Parental Bond,,,105,125,100,60,100,100
116,Horsea,Kanto,1,Normal,Dragon Pokémon,1,Water,,0.4,8,3,Swift Swim,Sniper,Damp,30,40,70,70,25,60
117,Seadra,Kanto,1,Normal,Dragon Pokémon,1,Water,,1.2,25,3,Poison Point,Sniper,Damp,55,65,95,95,45,85
118,Goldeen,Kanto,1,Normal,Goldfish Pokémon,1,Water,,0.6,15,3,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63
119,Seaking,Kanto,1,Normal,Goldfish Pokémon,1,Water,,1.3,39,3,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68
120,Staryu,Kanto,1,Normal,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85
121,Starmie,Kanto,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80,3,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115
122,Mr. Mime,Kanto,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,40,45,65,100,120,90
122,Galarian Mr. Mime,Kanto,1,Normal,Dancing Pokémon,2,Psychic,Ice,1.4,56.8,3,Vital Spirit,Screen Cleaner,Ice Body,50,65,65,90,90,100
123,Scyther,Kanto,1,Normal,Mantis Pokémon,2,Bug,Flying,1.5,56,3,Swarm,Technician,Steadfast,70,110,80,55,80,105
124,Jynx,Kanto,1,Normal,Human Shape Pokémon,2,Ice,Psychic,1.4,40.6,3,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95
